reportID,speed,crashwith,svhit,cphit,severity,faultfrac,reasoning
30270-11992,0,SUV,right,left,no injury/property damage,0.00,AV remained stopped with open door and passing SUV hit door
30270-11987,0,Pickup Truck,rear right,front right,no injury/property damage,0.00,Pickup rear-ended stopped AV at red light
30270-11962,2,Pickup Truck,rear right,front right,no injury/property damage,0.20,Stop-and-go timing conflict led to rear-end from following pickup
30270-11936,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended AV stopped for inoperative signals
30270-11951,9,Other Fixed Object,bottom,unknown,no injury/property damage,1.00,AV undercarriage struck raised pavement in parking lot
30270-11940,6,Pickup Truck,rear,rear right,no injury/property damage,0.10,Counterpart backing maneuver caused collision
30270-11930,0,Pickup Truck,rear right,front right,no injury/property damage,0.00,Pickup rear-ended stopped AV in queue
30270-11931,0,"Other, see Narrative",rear,left,no injury/property damage,0.00,Motorhome passing on narrow street struck parked AV
30270-11929,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Chain-reaction rear-end pushed stopped car into stopped AV
30270-11926,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended stopped AV in queue
30270-11908,36,SUV,rear left,front,minor injury (hosp.),0.05,SUV changed lanes into AV rear quarter
30270-11925,0,Heavy Truck,rear,left,no injury/property damage,0.00,Passing truck trailer clipped stopped AV on narrow road
30270-11924,0,Heavy Truck,rear,right,no injury/property damage,0.00,Passing heavy truck struck parked curbside AV
30270-11904,0,SUV,rear,front left,no injury/property damage,0.50,AV stopped straddling lanes during lane change and was hit from rear quarter
30270-11905,0,Heavy Truck,front,right,no injury/property damage,0.00,Turning heavy-truck trailer struck stationary AV
30270-11892,28,SUV,right,front,no injury/property damage,0.05,SUV entered from parking lot and crossed into AV lane
30270-11888,5,Other Fixed Object,bottom,unknown,no injury/property damage,1.00,AV drove over curb partition and later speed bump causing damage
30610-11902,1,Heavy Truck,rear+top,front,no injury/property damage,0.05,Truck made unprotected left across AV path
30270-11850,1,SUV,rear right,front right,no injury/property damage,0.10,SUV rear-ended AV after AV slowed for emergency siren
30270-11765,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended stopped AV
30270-11853,0,Heavy Truck,rear,left,no injury/property damage,0.00,Passing heavy-truck trailer clipped stopped AV
30270-11761,0,Bus,rear,right,no injury/property damage,0.00,Bus reversing/lane-change maneuver struck parked AV
30270-11840,26,Animal,front right,unknown,unknown,0.50,Animal-involved roadway conflict
30270-11759,1,Pickup Truck,front,front left,no injury/property damage,0.70,AV merged from curb and changed into occupied turn lane
30270-11718,17,Passenger Car,front,rear left,no injury/property damage,0.10,Counterpart right turn crossed AV path
30270-11717,3,Passenger Car,rear,left,no injury/property damage,0.05,Counterpart made wide turn into AV lane
30270-11715,0,Heavy Truck,front right,rear right,no injury/property damage,0.00,Counterpart backed into stationary AV
30270-11724,0,Pickup Truck,left,left,no injury/property damage,0.05,Stationary AV struck by moving counterpart
30270-11769,12,SUV,rear,front right,no injury/property damage,0.15,Counterpart left turn crossed AV path
30270-11831,0,Passenger Car,rear right,front right,no injury/property damage,0.10,AV stop-and-go at red preceded rear-end by following car
30270-11795,32,Passenger Car,left,right,no injury/property damage,0.05,Adjacent-lane car merged into AV at intersection
30270-11790,0,Passenger Car,rear,front left,no injury/property damage,0.00,Passenger car struck AV from behind while AV yielded stopped
30270-11768,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended AV stopped at stop sign
30270-11851,0,Passenger Car,rear,front left,no injury/property damage,0.00,Following car struck AV while AV was stopped yielding near work vehicle
30270-11852,0,Heavy Truck,front right,rear right,no injury/property damage,0.00,Counterpart backed into stationary AV
30270-11805,8,Other Fixed Object,front right,unknown,no injury/property damage,1.00,AV drove into hanging chain barrier in parking lot
30270-11763,0,SUV,rear,front left,no injury/property damage,0.00,SUV rear-quarter struck stopped AV in queue
30270-11716,0,Pickup Truck,front right,rear right,no injury/property damage,0.00,Counterpart backed into stationary AV
30270-11702,0,SUV,rear right,front right,no injury/property damage,0.00,SUV rear-ended stopped AV in turn lane
30270-11698,16,Animal,front left,unknown,no injury/property damage,0.40,Domestic animal suddenly entered lane from parked-vehicle area
30270-11701,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended stopped AV at queue
30270-11695,0,Passenger Car,front right,rear right,no injury/property damage,0.00,Counterpart backed into stationary AV
30270-11692,3,Passenger Car,front right,rear right,no injury/property damage,0.25,Both vehicles reversed
30270-11839,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended AV stopped for pedestrian
30270-11884,25,Passenger Car,rear right,front,no injury/property damage,0.05,Passenger car rear-ended AV while both were proceeding straight
30270-11874,2,Passenger Car,rear left,front,no injury/property damage,0.10,Following car attempted pass while AV slowed for queue and clipped AV
30270-11883,0,Bus,front left,rear,no injury/property damage,0.00,Counterpart backed into stationary AV
30270-11864,0,SUV,rear right,front right,minor injury (hosp.),0.00,SUV struck stopped AV in two separate rear-impact events
30270-11861,18,Passenger Car,rear right,front right,minor injury (hosp.),0.05,Passenger car struck AV from behind while both were proceeding straight
30270-11859,31,SUV,rear left+right,front,no injury/property damage,0.10,AV stop-and-go before intersection preceded rear-end by following car
30270-11858,0,Passenger Car,rear right,front right,no injury/property damage,0.05,Stationary AV struck by moving counterpart
30270-11860,0,Pickup Truck,rear right,front right,no injury/property damage,0.00,Pickup rear-ended AV stopped behind blocked lane
30270-11863,0,Pickup Truck,left,rear left,no injury/property damage,0.00,Counterpart backed into stationary AV
30270-11855,0,First Responder Vehicle,rear,left,no injury/property damage,0.00,Passing ambulance side-swiped AV that had pulled over and stopped
30270-11838,0,Pickup Truck,rear right,front right,no injury/property damage,0.05,Stationary AV struck by moving counterpart
30610-11847,30,SUV,left+rear,front left,no injury/property damage,0.05,SUV veered into AV path from adjacent lane
30610-11856,0,Heavy Truck,front left+front right,rear+rear right,no injury/property damage,0.00,Counterpart backed into stationary AV
30270-11841,0,Passenger Car,rear right,front right,moderate injury (hosp.),0.00,Passenger car failed to stop and rear-ended AV at stop sign
30270-11837,0,SUV,rear,left,no injury/property damage,0.00,SUV struck AV after attempting narrow pass while AV yielded
30270-11842,0,SUV,rear,right,no injury/property damage,0.00,AV passenger opened rear door into passing SUV during drop-off
30270-11836,1,Heavy Truck,front left,rear,no injury/property damage,1.00,AV struck parked flatbed while maneuvering around it
13781-11787,27,Animal,front left,unknown,no injury/property damage,0.25,Redacted narrative; estimate from CP=NM Crossing Roadway and AV=Stopped
30270-11821,0,SUV,front right,rear right,no injury/property damage,0.00,Counterpart backed into stationary AV
30270-11806,19,Non-Motorist: Cyclist,rear,unknown,minor injury (hosp.),0.05,Cyclist entered roadway from trail against stop control and hit AV rear side
30270-11794,19,Pickup Truck,left,right,minor injury (hosp.),0.00,Third-party red-light violator caused chain collision into AV
30270-11802,13,"Other, see Narrative",front right+bottom,unknown,no injury/property damage,1.00,AV entered roadway water and sustained damage
30270-11792,17,Pickup Truck,right,rear,no injury/property damage,0.10,Counterpart backing maneuver caused collision
30270-11789,0,SUV,front,front,minor injury (hosp.),0.00,SUV crossed center line and struck stationary AV
30270-11771,2,Heavy Truck,front,rear left,no injury/property damage,1.00,AV maneuvered into parked truck loading ramp
30270-11766,9,"Other, see Narrative",rear left+bottom,unknown,no injury/property damage,1.00,AV undercarriage struck pavement at parking-lot entrance
13781-11786,0,Non-Motorist: Cyclist,right,unknown,no injury/property damage,0.05,Redacted narrative; estimate from cyclist moving alongside stopped AV
13781-11784,6,Passenger Car,right,rear right,no injury/property damage,0.10,Redacted narrative; estimate from CP=Backing and AV=Proceeding Straight
30270-11762,29,Passenger Car,front,right,no injury/property damage,0.05,Adjacent turning car changed lanes into AV during turn
30270-11760,21,Passenger Car,rear left,front,no injury/property damage,0.05,Passenger car changed lanes into AV rear quarter
30270-11756,0,Bus,rear,right,no injury/property damage,0.00,Bus proceeding through intersection struck stopped AV
30270-11742,12,SUV,front,right,no injury/property damage,0.05,SUV emerged across tracks into AV lane
30270-11739,3,Passenger Car,rear right,front right,no injury/property damage,0.05,Passenger car rear-ended AV while AV slowed for stop sign
30270-11758,0,SUV,rear right,front right,no injury/property damage,0.05,Stationary AV struck by moving counterpart
30270-11753,0,SUV,rear,right,no injury/property damage,0.00,AV passenger opened rear door into passing SUV
30270-11755,0,SUV,front,front,no injury/property damage,0.00,SUV crossed center line from curb and struck stationary AV
30270-11738,0,Motorcycle,rear left,front right,minor injury (hosp.),0.10,Motorcycle lane-change/merge into AV rear quarter during AV launch
30270-11713,8,Motorcycle,rear,front left+front right,fatality,0.10,Motorcycle rear-ended slowing AV as AV prepared signed right turn
30270-11673,0,SUV,rear right,front right,no injury/property damage,0.00,SUV rear-ended stationary AV at stop-sign queue
30270-11488,0,Passenger Car,rear right,front right,minor injury (hosp.),0.00,Following car rear-ended AV after AV stopped to yield vulnerable users
30270-11672,25,"Other, see Narrative",front left+bottom,unknown,no injury/property damage,0.80,AV struck pothole in lane and sustained damage
30270-11607,8,Passenger Car,rear,front left,no injury/property damage,0.65,AV pulled from curb into moving queue and was struck at rear quarter
30270-11594,2,Other Fixed Object,front right,unknown,no injury/property damage,1.00,AV proceeded into lowered flagger arm causing additional contact
30270-11622,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended AV stopped at red light
30270-11671,3,Pickup Truck,front left,rear,no injury/property damage,1.00,AV exiting parking spot struck parked flatbed trailer
30270-11611,2,Pickup Truck,rear left,front right,no injury/property damage,0.70,AV lane change into occupied right lane led to rear-quarter impact
30270-11590,0,SUV,rear,right,no injury/property damage,0.00,Passing SUV crossed center line and clipped parked AV
30270-11573,0,SUV,rear,rear right,minor injury (hosp.),0.00,Counterpart backed into stationary AV
30270-11564,0,Passenger Car,rear,right,no injury/property damage,0.30,AV stopped partially out of lane while traffic was directed around it
30270-11548,2,Other Fixed Object,right,unknown,no injury/property damage,1.00,AV sideswiped vegetation encroaching into alley during pass
30270-11561,18,"Other, see Narrative",left,unknown,no injury/property damage,0.00,Pedestrian pushed shopping cart into AV path
30270-11567,0,SUV,rear,right,no injury/property damage,0.00,SUV turning right around parked AV clipped AV rear quarter
30270-11565,0,"Other, see Narrative",front,left,no injury/property damage,0.20,AV remained stopped within crosswalk as turning trailer contacted AV
30270-11621,32,Passenger Car,right,front,no injury/property damage,0.05,Passenger car attempted turn across into AV lane
30270-11569,5,Passenger Car,left,rear left,no injury/property damage,0.65,AV maneuvering around stopped car was struck by opening door
30270-11542,0,Pickup Truck,front,left,no injury/property damage,0.00,Passing pickup-trailer struck AV that had stopped to yield
30270-11523,0,Van,rear,left,no injury/property damage,0.00,Passing van on narrow road struck stopped AV
30270-11522,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended AV stopped for scooter crossing
30270-11498,0,Passenger Car,rear left,rear,no injury/property damage,0.00,Counterpart backed into stationary AV
30270-11496,0,Motorcycle,right,front right,minor injury (hosp.),0.00,Motorcycle hit door of another car then fell into stationary AV
30270-11502,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car pulled from stall and struck parked AV
13781-11687,6,Other Fixed Object,front right,unknown,no injury/property damage,0.90,Redacted narrative; estimate from fixed-object contact during AV left turn
30270-11664,2,SUV,rear,right,no injury/property damage,0.60,AV moved forward while adjacent SUV door remained open into AV path
30270-11637,20,SUV,left,front,no injury/property damage,0.05,SUV made unprotected left across AV path
30270-11627,0,Van,left,right,no injury/property damage,0.00,AV rider opened rear door into passing van
30270-11629,3,"Other, see Narrative",front,unknown,no injury/property damage,1.00,AV drove over one-way traffic spikes at exit-only gate
30270-11625,1,Motorcycle,rear right,front right,no injury/property damage,0.05,Motorcycle rear-ended AV after AV slowed to stop
30270-11623,8,Pickup Truck,rear left,front,no injury/property damage,0.65,AV maneuver around stopped pickup and lane change created merge conflict
30270-11618,0,Heavy Truck,rear,left,no injury/property damage,0.00,Turning heavy truck side-swiped stopped AV
30270-11609,0,Bus,rear,right,no injury/property damage,0.00,Bus changing lanes struck stopped AV
30270-11612,14,SUV,left+right,right,no injury/property damage,0.05,SUV in turn-only lane continued straight into turning AV
30270-11608,2,Pickup Truck,right,left,no injury/property damage,1.00,AV exiting parking spot struck parked flatbed
30270-11605,0,SUV,rear,right,no injury/property damage,0.00,AV passenger opened rear door into passing SUV
30270-11589,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended AV stopped at red
30270-11596,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended AV stopped at red
30270-11588,0,SUV,rear,front left,no injury/property damage,0.00,SUV rear-ended AV stopped at stop sign
30270-11591,22,"Other, see Narrative",rear,unknown,no injury/property damage,1.00,AV wheel/component separation while proceeding
30610-11587,11,Heavy Truck,left+front,front left+front right,no injury/property damage,0.05,Truck pulled out from driveway into AV lane
30270-11571,9,"Other, see Narrative",rear right+front right+bottom,unknown,no injury/property damage,1.00,AV drove through standing water and sustained damage
30270-11543,0,SUV,rear,front left+right,no injury/property damage,0.00,Passing SUV clipped parked curbside AV
30270-11544,7,Passenger Car,rear,front left,no injury/property damage,0.10,Passenger car changing/straddling lanes clipped AV rear quarter
30270-11545,15,Passenger Car,front right,left,no injury/property damage,0.10,Cross-traffic car ran red and AV contacted side after hard braking
30270-11547,0,Heavy Truck,rear,left,no injury/property damage,0.00,Passing garbage truck on narrow road struck stopped AV
30610-11563,0,Pickup Truck,rear,front left,no injury/property damage,0.00,Pickup passed and struck stopped Zoox AV
30270-11546,29,Other Fixed Object,front right,unknown,no injury/property damage,0.90,AV contacted fixed roadway/object hazard
30270-11525,0,Heavy Truck,left,right,no injury/property damage,0.00,Truck turned right across lane and struck stopped AV
30270-11516,13,Heavy Truck,left,rear right,no injury/property damage,0.25,AV passed behind truck that resumed reversing; shared backing conflict
30270-11508,0,Pickup Truck,rear,left,no injury/property damage,0.00,Turning pickup-trailer clipped stopped in-lane AV
30270-11501,7,Pickup Truck,right,left,no injury/property damage,0.30,Parked pickup door opened into passing AV in narrow gap
30610-11513,0,Non-Motorist: Cyclist,rear left,unknown,no injury/property damage,0.10,E-cyclist entered turn path and contacted near-stopped AV rear side
13781-11507,0,SUV,rear right,front right,no injury/property damage,0.05,Redacted narrative; estimate from CP=Proceeding Straight and AV=Stopped
30270-11452,0,Non-Motorist: Scooter - Skateboard,right,unknown,minor injury (hosp.),0.00,AV passenger opened door into passing scooter
30270-11327,0,Passenger Car,rear right,front right,minor injury (hosp.),0.00,Passenger car rear-ended stopped AV at red light
30270-11455,0,SUV,rear,left,no injury/property damage,0.00,SUV passing on narrow road struck stopped AV
30270-11451,3,Heavy Truck,front left,front,no injury/property damage,0.25,Truck re-entered lane from reverse maneuver; AV had limited clearance
30270-11468,0,SUV,rear right,front right,no injury/property damage,0.00,SUV rear-ended AV stopped at stop sign
30270-11428,0,SUV,rear right,front right,no injury/property damage,0.00,SUV rear-ended AV after AV stopped for emergency vehicle
30270-11426,5,"Other, see Narrative",front,unknown,no injury/property damage,0.70,AV moved into path of carts pushed by pedestrian
30270-11421,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended AV stopped in queue
30270-11414,0,Passenger Car,rear left,front,no injury/property damage,0.05,Stationary AV struck by moving counterpart
30270-11422,7,"Other, see Narrative",bottom,unknown,no injury/property damage,0.60,AV struck roadway object in lane
30270-11415,0,Pickup Truck,rear right,front right,no injury/property damage,0.00,Pickup rear-ended stopped AV at red
30270-11379,7,Other Fixed Object,front right+bottom,unknown,no injury/property damage,1.00,AV entered driveway and struck concrete/chain obstacle
30270-11381,22,Passenger Car,rear,front,no injury/property damage,0.05,Oncoming car made unprotected left into AV lane
30270-11467,2,Other Fixed Object,front right,unknown,no injury/property damage,1.00,AV drove into closed barrier arm
30270-11412,0,Passenger Car,left,left,no injury/property damage,0.00,Turning passenger car crossed center line into stationary AV
30270-11404,0,Passenger Car,rear,right,no injury/property damage,0.00,Turning passenger car clipped parked AV after drop-off
30270-11418,0,SUV,front right,rear right,no injury/property damage,0.00,Counterpart backed into stationary AV
30270-11361,4,"Other, see Narrative",front right,unknown,unknown,0.00,Detached object from oncoming pickup rolled into AV lane
30270-11371,1,Passenger Car,rear right,front right,no injury/property damage,0.10,Following car rear-ended AV while AV slowed to yield pedestrian
30270-11402,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended AV stopped for red turn arrow
30270-11374,0,Passenger Car,front right,right,no injury/property damage,0.05,Cross-traffic red-light violator struck AV after AV stopped to yield
30270-11365,0,Passenger Car,rear right,front right,no injury/property damage,0.10,AV stop-and-go at beacon preceded rear-end by following car
30270-11358,0,First Responder Vehicle,rear,left,no injury/property damage,0.00,Fire truck passing narrow lane struck stopped AV
30270-11401,0,SUV,rear right,front right,no injury/property damage,0.00,SUV rear-ended AV stopped at stop sign
30270-11362,0,Passenger Car,front right,rear right,no injury/property damage,0.00,Counterpart backed into stationary AV
30270-11360,5,Passenger Car,rear right,front right,no injury/property damage,0.10,Passenger car rear-ended AV as AV slowed behind stopped bus
30270-11333,0,Bus,rear,rear,no injury/property damage,0.00,Turning bus clipped stopped AV on narrow street
30270-11344,0,Bus,rear,right,no injury/property damage,0.00,Passing bus struck parked curbside AV
30270-11328,0,Heavy Truck,rear right,front right,minor injury (hosp.),0.10,AV stop-and-go then stop preceded rear-end by following truck
30270-11334,4,Other Fixed Object,bottom,unknown,no injury/property damage,1.00,AV U-turn maneuver struck raised median pavement
30270-11500,13,"Other, see Narrative",front,unknown,no injury/property damage,0.80,AV followed construction path into removed-pavement drop
30270-11495,0,Bus,rear,right,no injury/property damage,0.00,AV passenger opened door into passing bus
30270-11475,0,Van,rear right,front right,minor injury (hosp.),0.00,Minivan rear-ended AV stopped at red
30610-11497,0,SUV,rear left,front,no injury/property damage,0.10,Counterpart backing maneuver caused collision
30270-11490,0,Passenger Car,rear,front left,no injury/property damage,0.00,Chain-reaction impact pushed passenger car into parked AV
30270-11474,0,SUV,rear left,front,no injury/property damage,0.00,SUV rear-ended AV stopped at red
30270-11476,24,Passenger Car,rear,front left,minor injury (hosp.),0.00,Counterpart struck AV from behind while overtaking
30270-11469,0,Bus,rear,left,no injury/property damage,0.45,AV and bus both repositioned in intersection before bus turn contact
30270-11456,0,Motorcycle,rear left,front right,no injury/property damage,0.00,Motorcycle lane change into leftmost lane struck parked AV
30270-11433,0,Heavy Truck,rear,left,minor injury (hosp.),0.00,Turning heavy truck struck AV that had reversed and stopped to yield
30270-11450,0,SUV,left+front,left+front,moderate injury (hosp.),0.00,Wrong-way SUV struck parked AV head-on
13781-11459,8,Other Fixed Object,front right,unknown,minor injury (hosp.),0.80,Redacted narrative; estimate from fixed-object contact with AV in nonstandard maneuver
30270-11432,3,Heavy Truck,left,right,no injury/property damage,0.25,Truck turned right from incorrect lane during parallel right-turn
30270-11430,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended AV stopped for queue
30270-11424,5,SUV,front,right,no injury/property damage,0.70,AV pulled forward while adjacent AV was reversing from stall
30270-11413,0,Heavy Truck,rear left,front,no injury/property damage,0.00,Box truck struck parked in-lane AV near construction
30270-11417,12,Passenger Car,front left,front left,no injury/property damage,0.00,Counterpart traveling wrong way
30270-11420,0,Bus,left,right,no injury/property damage,0.00,Bus with open compartment door struck stopped AV mirror
30270-11400,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended AV stopped in queue
30270-11383,23,Passenger Car,front,right,no injury/property damage,0.05,Passenger car changed lanes into AV side
30270-11384,0,SUV,rear,right,no injury/property damage,0.00,Passing SUV struck stopped AV rear quarter
30270-11378,0,Pickup Truck,rear right,front right,no injury/property damage,0.00,Chain-reaction pickup impact then rear-ended stopped AV
30270-11373,0,Heavy Truck,rear,right,no injury/property damage,0.00,Passing heavy truck bed clipped parked AV
30270-11372,2,Passenger Car,rear right,front right,no injury/property damage,0.10,Passenger car rear-ended AV while AV slowed for queue
30270-11370,1,Passenger Car,rear right,front right,no injury/property damage,0.10,Following car rear-ended AV during stop-and-go turn-lane traffic
30270-11330,0,Pickup Truck,rear,right,no injury/property damage,0.00,Pickup passing parked in-lane AV clipped rear quarter
30270-11329,0,Bus,rear,right,no injury/property damage,0.00,Bus passing around parked AV clipped rear side
30270-11323,16,Passenger Car,rear right,front right,minor injury (hosp.),0.10,Passenger car rear-ended AV while AV slowed for queue
30270-11302,11,Passenger Car,rear,front right,no injury/property damage,0.25,Parallel left-turn conflict with following car contacting AV rear quarter
30270-11295,1,Other Fixed Object,front right,unknown,no injury/property damage,0.80,Barrier arm reclosed as AV proceeded through exit
30270-11291,5,Heavy Truck,left,right,no injury/property damage,0.05,Heavy truck turned right from adjacent lane across AV path
30270-11220,23,"Other, see Narrative",front right+bottom,unknown,no injury/property damage,0.70,AV struck unattended bicycle lying in travel lane
30270-11214,15,Passenger Car,rear right,front right,no injury/property damage,0.10,Passenger car rear-ended AV while AV slowed for queue
30270-11213,0,Bus,left,right,no injury/property damage,0.00,AV passenger opened rear door into passing bus
30270-11163,0,Van,rear,right,no injury/property damage,0.00,Turning van passed and struck parked AV in loading zone
30270-11297,5,"Other, see Narrative",front right+bottom,unknown,no injury/property damage,1.00,AV turned into parking-lot entrance chain
30270-11298,0,Heavy Truck,left,left,no injury/property damage,0.00,Passing heavy truck struck stopped AV on narrow street
30270-11250,0,Van,rear,right,no injury/property damage,0.00,Turning minivan passing parked AV clipped rear quarter
30270-11239,7,"Other, see Narrative",front right,unknown,no injury/property damage,1.00,AV turned into parking-lot chain
30270-11221,8,Pickup Truck,left,rear right,no injury/property damage,0.10,Counterpart backing maneuver caused collision
30270-11195,6,"Other, see Narrative",front right,unknown,no injury/property damage,0.80,AV struck fallen utility line hanging across roadway
30270-11225,21,Passenger Car,right,front right,no injury/property damage,0.05,Passenger car entered roadway from driveway into AV side
30270-11219,0,Heavy Truck,rear,left,minor injury (hosp.),0.00,Passing heavy truck struck stopped AV on narrow segment
30270-11194,0,SUV,rear,right,no injury/property damage,0.00,SUV passing stopped AV clipped rear quarter
30270-11276,0,SUV,rear,rear right,no injury/property damage,0.00,Counterpart backed into stationary AV
30270-11177,0,SUV,rear right,front right,no injury/property damage,0.00,SUV rear-ended stopped AV at red
30270-11175,0,SUV,rear right,front right,no injury/property damage,0.00,SUV rear-ended AV stopped to yield blocked lane
30270-11167,0,Passenger Car,front right,rear right,no injury/property damage,0.00,Counterpart backed into stationary AV
30270-11275,39,"Other, see Narrative",front left+bottom,unknown,no injury/property damage,0.80,AV struck unattended bicycle lying in roadway at speed
30270-11196,9,Pickup Truck,front left,front,no injury/property damage,0.05,Pickup entered from alley into AV lane
30270-11216,0,Passenger Car,rear,right,no injury/property damage,0.00,Passing car with open door struck parked AV
30270-11193,2,Other Fixed Object,front right,unknown,no injury/property damage,1.00,AV struck parking-lot chain
30270-11160,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended AV stopped at red
30270-11212,0,SUV,rear right,front right,minor injury (hosp.),0.00,SUV rear-ended AV stopped in queue
30270-11170,0,Passenger Car,front right,rear right,no injury/property damage,0.00,Counterpart backed into stationary AV
30270-11173,0,Pickup Truck,right+front right,rear right+front right,no injury/property damage,0.00,Pickup repeatedly struck stationary AV front and rear
30270-11210,0,Passenger Car,rear,right,no injury/property damage,0.00,Lane-changing passenger car sideswiped stopped AV
30270-11172,22,SUV,left,front left,no injury/property damage,0.05,SUV turned right across AV lane while AV was passing
30270-11208,0,SUV,rear right,front right,no injury/property damage,0.00,SUV rear-ended AV stopped at red
30270-11162,0,SUV,rear,front,no injury/property damage,0.05,SUV attempted pass maneuver around stopped AV and clipped rear quarter
30270-11207,0,Passenger Car,left,right,no injury/property damage,0.00,AV passenger opened rear door into passing car
30270-11161,2,"Other, see Narrative",front,unknown,no injury/property damage,1.00,AV reversing multi-point maneuver struck trailer hitch
30270-11171,0,Van,rear,right,no injury/property damage,0.00,AV passenger opened rear door into passing van
30270-11206,21,"Other, see Narrative",front right,unknown,no injury/property damage,0.00,Tires fell from trailer ahead and rolled into AV path
30270-11284,0,SUV,rear right,front left,no injury/property damage,0.00,Turning SUV struck stationary AV at red
30270-11281,0,Bus,left,right,no injury/property damage,0.00,AV passenger opened rear door into passing bus
30270-11282,0,Bus,left,right,no injury/property damage,0.00,Passing bus struck stopped AV in right-turn lane
30270-11280,0,Passenger Car,rear right,front right,minor injury (hosp.),0.10,AV stop-and-go for emergency vehicle preceded rear-end by following car
30270-11279,1,Passenger Car,rear left,front left,no injury/property damage,0.10,Following passenger car clipped AV rear while AV slowed to yield merge
30270-11273,0,Heavy Truck,front,rear left,minor injury (hosp.),0.00,Heavy truck parking maneuver struck stationary curbside AV
30270-11247,0,Heavy Truck,rear,left,no injury/property damage,0.00,Passing box truck struck stopped AV on narrow street
30270-11249,0,Pickup Truck,rear,right,no injury/property damage,0.20,AV reversed and stopped in lane before passing truck clipped AV
30270-11246,10,Pickup Truck,left,front left,no injury/property damage,0.05,Inner-lane pickup crossed turn-lane boundary into AV
30270-11245,0,SUV,rear right,front right,minor injury (hosp.),0.05,Stationary AV struck by moving counterpart
30270-11238,0,Passenger Car,rear left,front,no injury/property damage,0.00,Lane-changing passenger car sideswiped stopped AV
30270-11244,8,SUV,front,front right,no injury/property damage,0.05,SUV left turn crossed centerline into AV path
30270-11224,6,SUV,front left+right,left,no injury/property damage,0.00,AV passenger repeatedly opened door while AV moved past stopped AV
30270-11218,0,Bus,left,front left,no injury/property damage,0.00,AV passenger opened rear door into passing bus
30270-11192,0,Passenger Car,rear,front right,minor injury (hosp.),0.00,Passenger car pulled out from parking position into stopped AV
30270-11204,0,Van,front,front right,no injury/property damage,0.00,Van departed roadway/sidewalk and struck stationary AV
30270-11190,0,Passenger Car,rear right,front right,no injury/property damage,0.00,Passenger car rear-ended stopped AV at red
30270-11209,10,Other Fixed Object,bottom,unknown,no injury/property damage,1.00,AV underbody struck elevated gate track
30270-11205,0,Non-Motorist: Cyclist,right,unknown,minor injury (hosp.),0.00,AV passenger opened front door into passing cyclist
30270-11189,0,Heavy Truck,rear,left,no injury/property damage,0.00,Passing heavy truck struck stopped AV on narrow street
30270-11174,10,Other Fixed Object,bottom,unknown,no injury/property damage,1.00,AV underbody struck elevated gate track
30270-11146,31,"Other, see Narrative",front+bottom,unknown,no injury/property damage,0.40,AV struck debris displaced across lane by vehicle ahead
30270-11087,0,Passenger Car,rear,front,no injury/property damage,0.00,AV stopped; struck by other vehicle proceeding straight
30270-11085,0,SUV,rear passenger side,front driver side,no injury/property damage,0.00,AV stopped; struck by SUV proceeding straight
30270-11016,0,Non-Motorist: Other,rear passenger door,unknown,moderate,0.00,AV stopped; non-motorist contact
30270-11014,0,Non-Motorist: Other,rear driver side,unknown,no injury/property damage,0.00,AV stopped; non-motorist contact; redacted narrative
30270-11088,9,Other Fixed Object,bottom,top,no injury/property damage,0.90,AV struck fixed object while turning in parking lot
30610-11096,1,SUV,rear,front,no injury/property damage,0.30,AV encountered traffic cones and contacted SUV at low speed
30270-10977,18,Non-Motorist: Other,rear driver side,unknown,no injury/property damage,0.35,AV proceeding at 18mph; struck non-motorist crossing roadway; redacted
30270-11046,0,Passenger Car,rear passenger door,driver side,no injury/property damage,0.00,AV parked; struck by passing vehicle
30270-11015,0,Pickup Truck,rear driver side,front passenger side,no injury/property damage,0.00,AV parked; struck by pickup changing lanes
30270-11044,1,Non-Motorist: Cyclist,right rear corner,unknown,no injury/property damage,0.70,AV changing lanes at low speed; struck cyclist
30270-11013,2,Passenger Car,rear,front,no injury/property damage,0.25,Both proceeding straight at low speed; limited info from metadata
